Date,Price,Open,High,Low,Vol.,Change %
12/4/2023,1360.380462,971.42,"1,012.50","1,471.57",1.08M,1.58%
12/5/2023,1367.072767,957.4,"1,008.87","1,471.30",876.73K,-1.16%
12/6/2023,1385.388656,952.51,"1,015.86","1,482.05",763.96K,4.22%
12/7/2023,1349.979398,969,"1,020.35","1,443.32",1.10M,1.26%
12/8/2023,1329.802524,962.38,"1,025.17","1,400.87",1.04M,-4.11%
12/11/2023,1343.874654,963.91,"1,030.41","1,413.58",755.91K,-0.73%
12/12/2023,1367.88362,965.92,"1,032.58","1,446.77",771.03K,0.91%
12/13/2023,1378.990451,960.59,"1,039.55","1,446.88",665.46K,0.12%
12/14/2023,1391.562235,963.39,"1,044.10","1,461.78",798.29K,-1.88%
12/15/2023,1390.199357,969.43,"1,045.96","1,463.54",865.58K,1.49%
12/18/2023,1414.27902,966,"1,064.09","1,469.21",964.11K,0.28%
12/19/2023,1419.575239,962.49,"1,067.45","1,468.21",906.08K,0.47%
12/20/2023,1427.215417,951.52,"1,066.99","1,468.95",927.54K,-0.27%
12/21/2023,1431.452564,950.61,"1,065.85","1,476.61",1.11M,-1.34%
12/22/2023,1427.18726,953.55,"1,068.56","1,468.88",963.35K,-1.47%
12/25/2023,1438.689702,959.55,"1,081.60","1,472.43",902.84K,-0.42%
12/26/2023,1440.390515,959.43,"1,084.23","1,471.84",1.07M,0.37%
12/27/2023,1432.718388,958.18,"1,094.09","1,447.14",1.36M,-0.22%
12/28/2023,1429.790059,960.67,"1,084.76","1,456.32",889.48K,-3.44%
12/29/2023,1441.548526,957.7,"1,084.42","1,469.91",752.11K,1.97%
1/2/2024,1458.567845,962.89,"1,096.11","1,483.97",1.00M,1.10%
1/3/2024,1465.098786,965.71,"1,102.79","1,485.82",843.88K,-0.63%
1/4/2024,1474.55047,960.26,"1,108.83","1,484.82",747.86K,-0.22%
1/5/2024,1465.52116,968.72,"1,105.33","1,485.97",875.73K,3.66%
1/8/2024,1505.511904,962.79,"1,126.43","1,507.19",891.30K,0.23%
1/9/2024,1528.538267,955.79,"1,134.45","1,522.50",1.06M,0.91%
1/10/2024,1544.737696,954.13,"1,152.85","1,518.18",1.13M,-0.41%
1/11/2024,1553.662159,953.86,"1,156.49","1,524.96",1.03M,0.26%
1/12/2024,1552.165918,961.17,"1,176.33","1,503.71",1.38M,-0.08%
1/15/2024,1547.958214,966.89,"1,186.45","1,488.40",1.25M,0.23%
1/16/2024,1537.836104,966.26,"1,192.28","1,464.49",1.13M,0.06%
1/17/2024,1567.326262,967.69,"1,200.82","1,495.13",995.82K,0.36%
1/18/2024,1545.176948,967.2,"1,190.50","1,476.68",785.61K,0.61%
1/19/2024,1528.603524,976.28,"1,197.74","1,452.84",987.10K,2.03%
1/22/2024,1511.416941,978.23,"1,200.85","1,424.65",739.29K,0.92%
1/23/2024,1507.357727,978.82,"1,189.91","1,434.46",637.63K,0.89%
1/24/2024,1452.920011,986.52,"1,142.48","1,432.58",785.76K,0.81%
1/25/2024,1503.800237,975.15,"1,164.21","1,463.06",811.35K,-1.30%
1/26/2024,1504.383142,959.58,"1,175.72","1,432.18",828.13K,0.78%
1/29/2024,1525.625423,916.6,"1,172.18","1,424.36",751.39K,-3.17%
1/30/2024,1547.235192,929.42,"1,164.97","1,478.41",813.18K,0.15%
1/31/2024,1502.472391,934.75,"1,132.99","1,464.06",564.60K,-0.04%
2/1/2024,1427.966046,926.66,"1,052.16","1,465.22",702.68K,1.13%
2/2/2024,1453.559357,938.61,"1,076.11","1,478.96",578.17K,-2.15%
2/5/2024,1463.378878,934.38,"1,074.52","1,491.78",734.76K,0.60%
2/6/2024,1472.161985,930.73,"1,075.53","1,499.53",794.74K,-0.76%
2/7/2024,1500.451651,940.72,"1,113.24","1,495.70",680.25K,-0.82%
2/15/2024,1510.048189,937.19,"1,117.88","1,499.06",636.28K,-1.10%
2/16/2024,1497.940163,939.28,"1,126.91","1,471.96",810.72K,-0.48%
2/19/2024,1498.003534,938.52,"1,127.06","1,470.06",606.42K,0.92%
2/20/2024,1500.083644,934.47,"1,114.93","1,486.68",702.52K,0.96%
2/21/2024,1550.490826,926.41,"1,155.78","1,492.10",615.79K,0.10%
2/22/2024,1563.840331,933.69,"1,174.38","1,492.38",697.55K,2.58%
2/23/2024,1570.225725,938.13,"1,178.18","1,500.97",791.92K,-0.41%
2/26/2024,1577.342745,917.49,"1,182.67","1,484.81",908.05K,-2.58%
2/27/2024,1609.261647,893.95,"1,184.32","1,503.47",694.65K,-0.06%
2/28/2024,1582.746011,901.51,"1,185.58","1,473.76",1.16M,-1.34%
2/29/2024,1589.919452,892.15,"1,169.97","1,494.85",768.01K,-1.76%
3/1/2024,1588.916006,885.47,"1,169.28","1,487.57",729.79K,0.34%
3/4/2024,1612.693838,878.43,"1,186.82","1,490.13",842.43K,1.55%
3/5/2024,1602.383179,895.39,"1,196.16","1,479.55",941.55K,-0.28%
3/6/2024,1604.929289,887.85,"1,189.18","1,485.52",929.21K,-1.24%
3/7/2024,1615.390522,892.71,"1,191.90","1,501.39",928.92K,0.24%
3/8/2024,1590.298089,888.96,"1,169.56","1,493.87",981.72K,1.04%
3/11/2024,1596.759746,875.8,"1,181.25","1,473.71",1.04M,1.09%
3/12/2024,1617.956904,813.83,"1,166.42","1,462.80",930.30K,0.65%
3/13/2024,1610.059813,843.52,"1,170.59","1,473.74",649.94K,-0.28%
3/14/2024,1657.58026,778.06,"1,183.73","1,458.88",878.19K,-0.02%
3/15/2024,1665.789436,750.56,"1,186.52","1,439.19",858.57K,-1.20%
3/18/2024,1659.239707,758.28,"1,186.06","1,437.27",675.63K,2.12%
3/19/2024,1693.006362,724.07,"1,184.91","1,452.74",624.22K,-1.39%
3/20/2024,1682.069556,747.4,"1,186.09","1,459.14",717.44K,-0.22%
3/21/2024,1708.625637,732.35,"1,200.94","1,461.34",795.73K,-2.11%
3/22/2024,1719.180926,728.55,"1,199.67","1,474.38",792.16K,0.91%
3/25/2024,1757.184119,694.77,"1,200.21","1,494.95",947.70K,0.79%
3/26/2024,1773.166254,666.59,"1,191.47","1,501.67",861.13K,0.44%
3/27/2024,1749.470113,669.76,"1,174.20","1,495.18",784.91K,0.16%
3/28/2024,1732.234578,689,"1,170.76","1,494.55",768.94K,0.52%
3/29/2024,1709.15923,692.54,"1,165.76","1,473.80",1.07M,0.19%
4/1/2024,1746.854401,663.91,"1,175.77","1,483.18",737.94K,0.19%
4/2/2024,1754.187768,669.74,"1,187.29","1,483.90",901.49K,0.29%
4/3/2024,1774.771783,658.8,"1,196.45","1,488.27",684.54K,0.49%
4/4/2024,1771.272505,687.92,"1,217.26","1,484.13",967.67K,1.38%
4/5/2024,1785.85601,716.22,"1,228.29","1,516.44",779.58K,-0.08%
4/8/2024,1784.974232,744.97,"1,245.28","1,519.28",703.53K,0.22%
4/9/2024,1778.74188,740.03,"1,244.63","1,507.62",944.04K,-0.92%
4/10/2024,1765.614714,751.08,"1,242.38","1,502.35",795.13K,-0.11%
4/11/2024,1749.858,759.08,"1,246.40","1,482.00",763.56K,-0.41%
4/12/2024,1717.270577,762.99,"1,234.98","1,455.25",680.06K,0.39%
4/15/2024,1725.757842,769.01,"1,252.45","1,448.52",674.79K,0.00%
4/16/2024,1758.772875,768.05,"1,268.02","1,471.75",523.37K,-0.48%
4/17/2024,1731.881988,773.11,"1,255.87","1,456.39",659.47K,-1.07%
4/19/2024,1709.593398,786.96,"1,265.87","1,425.07",827.69K,0.09%
4/22/2024,1679.322693,796.17,"1,254.61","1,406.45",702.35K,0.11%
4/23/2024,1670.895978,794.97,"1,260.58","1,384.72",688.33K,-0.57%
4/24/2024,1705.759699,752.8,"1,286.32","1,356.58",810.67K,0.03%
4/25/2024,1677.237165,768.92,"1,271.98","1,352.43",834.41K,-0.60%
4/26/2024,1610.35657,777.28,"1,248.53","1,298.38",762.88K,-0.15%
5/2/2024,1584.872285,780.65,"1,251.25","1,261.40",727.65K,-0.63%
5/3/2024,1598.066772,773.31,"1,220.96","1,314.81",519.56K,0.57%
5/6/2024,1631.9535,768.59,"1,230.91","1,344.10",485.12K,-0.11%
5/7/2024,1641.104426,766.14,"1,239.39","1,343.24",598.40K,0.91%
5/8/2024,1650.602925,763.22,"1,242.80","1,348.68",528.29K,-0.81%
5/9/2024,1658.650487,767.3,"1,265.93","1,331.41",531.08K,-0.03%
5/10/2024,1639.405301,785.08,"1,261.49","1,328.13",564.07K,1.26%
5/13/2024,1573.497508,800.32,"1,250.50","1,265.54",673.76K,0.03%
5/14/2024,1546.90078,818.26,"1,259.58","1,232.57",665.48K,0.43%
5/15/2024,1586.217701,827.29,"1,272.55","1,277.91",418.23K,-0.11%
5/16/2024,1548.692196,835.32,"1,269.09","1,238.05",557.89K,0.93%
5/17/2024,1514.86026,830.97,"1,273.49","1,180.60",816.99K,-0.11%
5/20/2024,1503.513055,835.42,"1,388.55","1,170.59",584.39K,0.02%
5/21/2024,1505.534897,827.49,"1,388.55","1,156.54",583.96K,-0.51%
5/22/2024,1519.463153,852.14,"1,374.68","1,222.92",566.36K,0.74%
5/23/2024,1517.621761,843.26,"1,347.14","1,210.43",496.73K,-0.12%
5/24/2024,1540.271036,854.93,"1,307.73","1,232.33",504.69K,0.33%
5/27/2024,1530.716917,859.29,"1,305.37","1,207.99",557.43K,-0.45%
5/28/2024,1542.723298,852.9,"1,299.18","1,203.28",528.48K,-0.38%
5/29/2024,1566.144886,861.47,"1,304.37","1,233.38",655.24K,0.27%
5/30/2024,1589.65991,869.13,"1,299.31","1,261.55",541.91K,-0.08%
